Index,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BPAT_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat,
20,2343.184695,5015.262628,3170.15223,9304.284172,333.5955466,7286.922067,8649.277544,22652.78401,4857.820058,531.3089242,1639.790158,1360.082201,1306.188145,418.4671239,1033.593448,2398.16845,6986.049262,5113.063516,2552.270958,3993.439356,1088.993508,7245.662607,2153.452612,3924.709306,2355.835642,11066.43386,4926.824494,1648.435048,1708.423187,5406.228059,2219.859865,471.3680846,766.5034471,140.0114002,4682.090414,1471.802928,153.2027277,
21,2259.979526,4829.150034,3033.689864,8979.703048,322.224796,6973.249235,8277.01066,21677.67325,4649.013681,513.0992709,1574.429626,1313.287251,1250.643952,404.8650666,999.6865338,2321.581417,6685.319603,4997.30366,2470.427756,3846.849445,1055.973372,7018.918627,2112.07342,3778.405607,2305.434379,10683.01542,4759.052812,1592.301382,1668.575248,5205.266641,2133.966371,451.0775751,740.4019343,136.8623771,4548.383041,1418.765737,148.9384563,
22,2146.408579,4711.422509,2898.153166,8537.538139,306.5084316,6661.704147,7907.217926,20709.74251,4441.38037,488.1479264,1489.597796,1249.733439,1194.833423,388.8623898,959.8428973,2230.482685,6386.804584,4864.27734,2351.05903,3655.447616,1016.774009,6723.593663,2056.521912,3587.612572,2235.195205,10182.30663,4526.746806,1514.575585,1622.931114,5078.955502,2072.853467,430.9247026,704.2603274,133.2172389,4379.789766,1382.174617,141.7138028,
23,1994.585731,4501.63289,2718.39572,7961.579728,285.8247785,6248.513106,7416.735223,19424.93407,4165.332604,455.2076701,1390.761521,1165.307352,1120.964004,366.9921813,905.2928974,2105.096236,5990.556931,4727.031603,2197.359695,3408.879097,962.1077358,6382.926405,1970.450187,3344.27392,2100.508664,9517.177679,4221.309184,1412.381142,1575.344374,4853.580238,1973.491569,404.1966728,656.7410803,129.487985,4142.820405,1321.888838,132.6835199,
24,1847.270336,4210.891485,2471.05194,7364.599246,264.371244,5679.967901,6741.931712,17658.29404,3786.558799,420.9549103,1295.959639,1077.545098,1019.814765,336.3205671,830.1956706,1932.085773,5445.728606,4409.799084,2018.280783,3153.252086,887.5347396,5869.906437,1871.394651,3096.861598,1941.852048,8739.882868,3904.5743,1306.406821,1468.091789,4540.873834,1835.125569,367.4192706,607.4642327,120.7894782,3881.786446,1234.107063,121.3465754,
25,1734.67419,3970.510022,2256.590403,6904.235627,247.7010719,5187.005925,6156.846854,16125.37338,3457.975779,394.4927533,1245.046122,1009.823807,932.3416057,313.3835712,773.8748436,1800.452728,4972.983113,4077.313857,1893.567402,2956.347451,829.3290481,5448.080518,1770.524429,2907.988715,1867.483358,8128.856383,3658.284785,1224.002369,1356.714901,4281.684832,1718.376852,335.5311098,569.1471052,111.676582,3665.559101,1158.989084,113.8242166,
26,1674.757587,3793.895986,2146.802945,6657.269718,238.8893647,4934.648125,5857.25983,15340.28637,3290.216833,380.4199402,1211.45938,973.8790486,887.5192179,296.3141998,732.2686639,1700.038434,4730.862811,3928.868566,1799.526101,2852.447517,792.1735482,5240.79929,1767.024516,2808.002566,1765.846537,7838.970621,3528.153012,1180.462403,1306.788655,4091.52595,1640.838793,319.2068768,548.9015184,107.616974,3589.419376,1108.265761,107.9035495,
27,1653.451621,3746.822175,2058.572614,6574.400422,236.5472519,4731.841601,5616.609877,14710.76826,3154.512718,376.5684766,1202.463935,963.8667065,852.2519673,288.3129078,713.3384069,1654.609028,4536.723923,3827.629389,1756.424718,2805.717908,775.3601442,5113.50041,1771.098785,2760.70258,1734.443581,7728.39413,3493.734157,1168.946416,1271.879434,4041.287338,1609.954082,306.0879603,543.5467162,104.8018312,3568.725309,1091.145501,105.6458857,
28,1644.650382,3719.073428,2014.179679,6535.723733,235.059697,4629.799861,5495.397045,14393.12352,3086.086712,374.2266111,1238.378504,958.0066641,834.4454767,282.9787853,700.8265122,1624.371657,4438.766275,3741.749132,1744.227767,2790.321362,762.9118455,5053.145979,1760.11059,2750.040784,1746.842158,7631.111678,3471.688909,1161.570435,1243.752862,4011.234602,1594.050424,299.4872008,540.1169697,102.4806993,3555.341796,1080.428343,105.0449897,
29,1685.470308,3825.218063,2032.993864,6677.982707,240.2592537,4673.046206,5546.692322,14527.22345,3115.678537,382.4777727,1300.314262,978.917075,842.4295353,283.2454899,701.9605071,1624.546162,4480.119648,3819.576495,1753.752795,2852.332562,762.8263809,5075.585957,1753.067698,2812.132421,1773.280566,7670.418674,3548.587111,1187.299318,1268.408441,4126.269702,1633.564049,302.284671,552.0806061,104.5543137,3569.763776,1109.40721,105.4970797,
30,1806.09258,3945.077154,2137.672011,7160.011323,257.7171881,4913.65973,5832.429045,15276.48433,3276.526558,410.4486886,1388.77247,1050.780072,886.0581056,293.1137449,728.1843014,1681.502381,4711.196599,4000.626413,1831.938106,3062.006147,785.4338069,5288.10988,1767.883331,3023.618148,1857.567914,7988.148872,3806.166902,1273.481312,1328.890198,4254.927002,1690.179903,317.8492036,592.1542475,109.52476,3669.928322,1146.813778,110.6129286,
31,2002.887407,4344.90902,2350.122228,7946.088011,285.4232194,5401.998479,6412.072731,16794.36223,3601.702243,454.5512517,1507.069898,1163.636959,974.287143,314.9838915,783.7792191,1805.613893,5179.305997,4393.647846,2019.035004,3410.05599,842.2984725,5812.637011,1881.440219,3377.300758,2064.149308,8888.14051,4215.390906,1410.400983,1459.615736,4685.959928,1860.951548,349.4383023,655.8203289,120.2944161,3992.278459,1262.615923,121.3493494,
32,2203.985574,4756.850755,2620.845151,8748.870044,314.2486875,6024.283057,7150.766995,18729.49952,4016.955738,500.3396835,1603.433082,1280.688334,1086.147728,352.3232439,875.9534835,2020.255784,5776.107601,4725.381939,2264.102318,3749.697142,930.2923511,6486.753065,1967.912673,3709.049091,2242.632255,9820.740601,4641.284418,1552.898,1572.230484,5130.134147,2045.10973,389.6919357,722.0798122,129.4062463,4288.400142,1381.575181,136.1458208,
33,2330.795556,5081.347337,2866.546217,9322.034689,335.1166958,6589.052313,7820.959164,20483.95342,4392.371875,533.6512125,1629.72018,1365.947758,1186.144801,385.6618111,957.1480595,2211.591031,6317.18227,4977.265531,2397.586953,3997.328574,1009.66276,6900.277883,2054.848211,3947.895046,2372.366947,10414.0915,4949.414526,1655.993304,1658.112437,5479.943533,2195.345561,426.2250838,770.0179496,136.2831668,4489.715997,1475.517547,144.1230491,
34,2355.085354,5038.306996,2922.807264,9474.381785,340.6518824,6718.374136,7974.467687,20886.17338,4479.043348,542.4713815,1596.149269,1388.517643,1208.471597,396.0635062,981.9967888,2276.322601,6441.229753,5030.342385,2392.242295,4069.391807,1031.383481,6866.853732,2046.533764,4020.033721,2315.344315,10273.96778,5031.161894,1683.344639,1676.804192,5433.455469,2189.238293,434.590506,782.7360076,137.7731017,4441.580831,1468.450947,143.8226087,
35,2322.468986,4794.752308,2914.771134,9354.913021,335.7685651,6699.902261,7952.525058,20828.09246,4466.500752,534.5933481,1563.003748,1368.460828,1205.021179,391.796233,971.6385381,2256.471473,6423.311794,5041.19827,2413.441394,4021.774523,1020.04112,6938.401973,2022.44864,3974.504095,2267.420876,10135.90264,4959.095398,1659.232365,1679.536264,5169.108483,2104.261304,433.3956185,771.5240763,138.0240744,4381.94424,1408.498532,144.9250335,
36,2264.445557,4570.004811,2848.644312,9101.238996,325.8371554,6547.902938,7772.074624,20355.56777,4364.979597,518.9209172,1541.569699,1328.321353,1177.812849,387.2621005,959.5784034,2230.785471,6277.591483,4874.266736,2391.488598,3921.230174,1008.017292,6871.104857,1995.95286,3880.420701,2197.185484,9867.237725,4812.289875,1610.113634,1624.751647,4925.891326,2015.910216,423.56326,748.684428,133.4670708,4293.773585,1345.84213,143.8226087,
37,2212.795881,4421.058117,2761.504886,8881.920206,317.2093908,6347.603974,7534.27483,19732.52291,4231.4882,505.1328943,1516.316379,1293.209306,1142.20636,381.9279161,945.6418422,2198.745894,6085.44868,4718.717748,2358.143193,3834.281696,995.9268392,6731.260456,1988.700167,3803.000544,2088.109132,9509.723659,4684.844102,1567.472359,1573.382939,4765.779082,1951.893432,410.6065496,728.8567225,129.240439,4200.729083,1302.535379,142.0664882,
38,2177.488396,4313.499907,2728.080496,8741.742925,310.9051841,6270.774563,7443.170215,19493.68608,4180.159183,495.0863639,1496.831049,1267.303395,1127.90741,376.8604982,932.7211107,2168.444251,6011.809956,4488.634748,2324.746016,3797.287868,983.6280778,6602.27485,1972.907654,3779.877531,2022.007431,9337.422684,4591.813441,1536.345818,1498.953886,4649.802206,1908.868932,405.6366965,714.3832372,122.9437223,4138.839536,1268.637614,140.3603361,
39,2171.500389,4251.660514,2687.525136,8660.813606,308.8651965,6177.553884,7332.52304,19204.77575,4118.524388,491.8036826,1506.527889,1258.945585,1111.46087,375.2602088,928.3182255,2157.940551,5922.698496,4570.288951,2299.186664,3744.917599,979.8374589,6512.686724,1969.242949,3719.084557,1994.737206,9229.880286,4561.700217,1526.270425,1524.242692,4583.128701,1882.571985,399.6065438,709.6982946,125.1807402,4121.639276,1254.809502,137.9513977,
40,2217.601943,4276.922907,2723.513334,8800.612241,313.3132639,6260.27647,7430.670293,19461.4641,4173.30757,498.938758,1556.272472,1277.32629,1125.813663,378.4607257,936.4456699,2173.12331,6001.864488,4595.865477,2335.25593,3814.41014,986.7508228,6489.20517,1969.350543,3795.628208,1995.564665,9290.341952,4627.302156,1548.219763,1532.791535,4610.366566,1895.339418,404.9576079,719.9044857,125.8451062,4143.870824,1262.404334,140.8618275,
41,2370.669754,4388.338079,2886.458086,9363.792879,334.096553,6634.8218,7875.246124,20625.88471,4423.147654,531.966646,1638.94979,1361.768363,1192.203261,394.4632478,977.029507,2262.656557,6360.965069,4911.800487,2441.442165,4051.369699,1024.405915,6648.158309,2005.7443,4025.950507,2065.799476,9679.255754,4934.355668,1650.954856,1638.186952,4729.626587,1960.702109,429.185768,767.675129,134.5423036,4278.326258,1303.886778,146.3806959,
42,2536.686936,4805.365501,3202.849915,10046.25069,359.3612948,7362.081071,8738.578504,22887.21816,4908.022617,572.2163876,1699.313559,1464.596903,1320.548649,426.4685396,1055.502857,2441.244461,7058.365781,5221.061634,2619.013906,4336.536422,1101.816186,7097.612666,2104.347719,4294.25156,2249.243755,10578.93969,5307.552411,1775.820393,1744.048852,5178.968373,2153.747074,476.2298844,825.7361762,142.9933169,4564.103075,1424.611984,157.7149135,
43,2593.257207,5198.425795,3344.242966,10328.25282,369.1600428,7687.087589,9124.29594,23896.77964,5124.765,587.8008211,1708.924347,1504.71562,1378.509282,448.6052671,1109.023048,2571.160788,7369.708993,5417.865657,2726.938589,4461.754065,1157.657487,7440.550852,2197.345889,4414.870518,2393.023981,11082.19591,5452.20624,1824.219203,1810.185918,5603.896313,2310.114835,497.2535345,848.2410693,148.3782404,4751.817006,1530.817131,164.3386366,
44,2554.915345,5159.337565,3297.48434,10171.78657,363.8427718,7579.608063,8996.679957,23562.65369,5052.911749,579.3519733,1651.927863,1482.983092,1359.679126,451.2723129,1114.353636,2589.316989,7266.663354,5350.360928,2697.953812,4386.607535,1163.900214,7431.669728,2202.690444,4335.740119,2358.318768,11025.01671,5373.696139,1797.951005,1787.826699,5562.113205,2289.545911,490.3010218,836.0266576,146.5546013,4740.668107,1517.965323,162.8335465,
45,2474.317402,5012.279952,3159.012687,9830.102425,351.5695967,7261.316678,8618.846247,22573.18969,4840.708722,559.8280655,1583.854372,1432.831052,1303.747125,441.670979,1090.311968,2535.67887,6961.516651,5134.522098,2625.866123,4235.35712,1140.406232,7303.165962,2170.397265,4187.340701,2327.743841,10789.36312,5192.477499,1737.318207,1714.965072,5403.410138,2217.648624,469.7117525,807.8330996,140.5916072,4640.42069,1471.621641,158.0181422,
46,2358.831051,4833.647315,2999.165585,9371.197347,335.3340047,6893.891617,8182.876594,21431.74004,4596.514148,533.936356,1503.497738,1366.785389,1239.091302,429.6689018,1059.563617,2465.166043,6609.488758,4975.860385,2538.909853,4029.429516,1111.3365,7168.073903,2132.991561,3978.473753,2264.943245,10379.07241,4952.641815,1657.073102,1661.027671,5210.898125,2130.774916,445.9441802,770.5200436,136.2820135,4496.051792,1418.720303,152.450232,
